nohup: 忽略输入
这个30元新惠享流量券活动有多少流量 0
您好：怎么开通19元电影vip移动机顶盒 0
加开流量有什么要求，您好：怎么开通 1
如何开通叠加包，啥时候上线 1
是不是谁都可以办理减免套餐费活动 0
18元普通版会员plus啥时候上线 0
取消新20元20GB新享 0
教教我怎么使用体验版-12个月嗨购月包 0
你好可以自动发送发票到邮箱吗？ 0
你好，我想取消30元流量加油包，怎么办理 0
20元20GB惠享流量券。是几G网 0
你好，办理爱奇艺7天5g视频会员流量包需要什么条件？ 0
18元上网版移动王卡太鸡肋了，帮我干掉吧 0
电话信箱下个月生效么 0
介绍一下30元半年包郊区卡 0
漏话通知我啥时可以办理使用方法 1
你好，办理80元5g家庭套餐需要什么条件？ 0
未接来电提醒怎么使用 0
你告诉我9元百度专属定向流量包怎么开通 0
百度特殊业务专属流量开通 0
我想取消亲情卡套餐 0
puls会员有哪些权益 0
我办理的9元网易专属定向流量包有多少流量 0
24元腾讯视频任我看聚力视频（pptv）流量包是否能取消，有什么要求吗 0
68元2019版和4g校园套餐如何取消 0
请你帮我办理欢享优惠券30元40G，谢谢！ 0
200元2018版打两年300有什么要求 0
你好能给我办一个20元20兆流量吗 0
1元10gb特惠体验券活动怎么购买 0
你好，我想取消短信发送报告，怎么办理使用方法 1
家庭亲情网全国版的，我取消 0
和彩云我都取消了 0
得花多少钱去开通乐视会员视频会员通用流量月包 0
我想办理视频会员2GB通用流量7天包，芒果tv和PPtv的开通方式一样吗 2
我的福利二选一 0
多少钱能开通半年包神州行5元卡 0
你告诉我5g家庭套餐怎么开通，何时能用到 1
充50送50如何取消，如何开通 1
2020校园套餐怎么办理 0
plus会员有最低消费要求吗 0
如何买20元20g流量 0
220元互联网电视太鸡肋了，帮我干掉吧 0
你告诉我为什么不能办理大兴卡，什么时候发售 1
你好，我想取消短信充值优惠，怎么办理 0
100元和家庭流量包开通应该如何操作 0
15元畅享包快手定向流量包什么时候发售 0
大陆及港澳台版解除限速多少钱 0
什么是198元5g畅享套餐合约版 0
和家庭可以分享流量包 0
我的20元20个G套餐什么时间到期 0
怎么开通5g家庭套餐 0
160元5g家庭套餐开通 0
我想办理23元老年的物美价廉套餐，麻烦帮我开通一下 0
介绍一下气象服务，怎么取消 1
我要添加亲情号如何添加？谢了 0
你好，帮忙查一下亲情业务取消了吗 0
介绍一下5g智享套餐合约版，您好：怎么开通 1
怎么开通和留言业务 0
什么是5g家庭套餐因为什么无法退订 1
你好，我之前的15元语音信箱到期了，想继续办理个 0
我想办理20元20G的流量套餐 0
怎么开通200元2019版校园卡活动 0
多少钱能开通新30元惠享40g流量券 0
副卡怎么使用，什么时候发售 1
如何开通家园卡什么是 1
我要办理15元大陆及港澳台版流量加速包 0
亲情网到期了，怎么取消 0
普惠得流量业务可以立刻取消吗 0
您好 现在还可以办理20元20G流量吗 0
我想办理10元家庭计划成员，麻烦帮我开通一下 0
得花多少钱去开通北京移动plus会员权益卡，开通应该如何操作 1
办理5G智享套餐合约版的合约版和合约版，含有的其它服务有区别吗 2
30元半年包神州行5元月卡有[内含其他服务]吗 0
我要办理流量升级包怎么办 0
18元老人的套餐卡如何取消 0
我想办理任我看西瓜视频，咪咕流量包和咪咕直播流量包哪个更便宜一些 2
你好我办理的10元神州行畅听卡有其他什么服务吗 0
可以帮我取消亲情卡业务吗 0
我想办理优酷，麻烦帮我开通一下为什么我不能开通 1
怎样办理优惠二选一 0
30元半年包5元卡年包如何取消 0
我要办理5元wlan流量套餐怎么办 0
我要退订亲情网业务 0
您好，我编辑短信退订亲情网服务退不了，说我有在途订单？ 0
办理20元欢享优惠卷 0
你好，我之前的爱奇艺视频会员5gb通用流量7天包到期了，想继续办理个 0
福利王卡二选一 0
为什么我不能开通2019版五百打两年 0
我要去削6元彩铃 0
我办理的新30元惠享40g流量券有多少流量，您好：怎么开通 1
什么是1元小额版限速恢复 0
不限量带多少的流量，啥时候上线 1
来来，59元互联网智能语音遥控器教教我咋用 0
增加亲情号码 0
办好了6元彩铃怎么使用 0
我要取消plus业务，如何操作 0
我想办理短信发送报告，月包和半年包哪个更便宜一些 2
怎么办理优酷7天会员流量 0
20元20个G怎么办不了了 0
我办理的5g智享套餐合约版有多少流量哪些情况下办理不了 1
什么时候可以办理500元流量加油包 0
你告诉我为什么不能办理120元半年包畅听年卡 0
15元大陆及港澳台版提速包怎么购买 0
你好，我要取消视频会员5GB通用流量加油包，请问腾讯和芒果的取消方式有区别吗 2
取消业务 通话圈 0
办好了12元半年包关机不在服务区怎么使用 0
什么是30元半年包神州行5元卡 0
19元宝藏版移动花卡怎么购买 0
哪些情况下办理不了15元恢复限速 0
流量兜底我啥时可以办理 0
你告诉我18元乐享版移动王卡怎么开通 0
为什么我不能开通5g家庭套餐什么是 1
可以办理亲情卡吗？ 0
怎么办理60元年包家园卡欢乐套餐 0
你好我买了花季守护 0
取消全球通PUIS会员 0
这个15元畅享包快手流量有多少流量 0
什么时候可以取消加开流量我为什么不能办理 1
为什么我不能开通放心用，我要办理 1
怎么办理18元基础版移动网卡 0
哪些情况下办理不了18元乐享版移动王卡 0
取消30元40g的流量套餐 0
什么时候可以办理11元腾讯视频会员5gb通用流量7天包 0
介绍一下随心看合约版 0
比好，我办理的新春营销活动可以刷视频吗 0
20元20GB惠享流量卷 0
我现在不需要移动王卡惠享合约，怎么取消掉 0
办理新惠享流量30元档 0
你好，我之前的100元和家庭流量包到期了，想继续办理个 0
您好，我想取消全国亲情网套餐 0
介绍一下12元半年包短信回执 0
我可以办理芒果tv腾讯视频会员2gb通用流量7天包吗 0
我想办理加速流量包，麻烦帮我开通一下，是不是谁都可以办理 1
我想办理个年包家园卡欢乐套餐玩玩 0
Plus会员领取视频后，能否在电视机TB也享受节目？ 0
你好，我想取消20元邮箱，怎么办理，我想办个 1
这个放心用有多少流量，开通一下 1
怎么开通100元互联网电视 0
办好了任我看聚力视频（pptv）流量包怎么使用 0
2元车主服务如何用 0
怎么不能签到呢 0
芒果7天5g流量包的套餐本月没用完，下月可以继续用吗 0
5元60包一年怎么购买 0
承诺低销套餐我想取消 0
Plus会员有哪些热门app 0
您好：怎么开通15元畅享包快手定向流量包 0
怎么增加亲情号码？ 0
我想办个19元宝藏版花卡 0
我可以免费添加亲情号吗？ 0
您好：怎么开通年包郊区卡 0
网易和百度的咪咕视频定向流量，流量相同不 2
30元40的那个套餐 0
大陆及港澳台版提速退订失败 0
有没有20元20个G的劵 0
如何加亲情号 0
什么是个人版5g畅享套餐 0
我要办理6元咪咕流量包优酷怎么办 0
移除全国亲情网 0
怎么办理120元半年包畅听年卡 0
我的亲情网退掉不用了 0
我的亲情那个业务怎么取消 0
10元畅听年卡怎么购买 0
和家庭成员 原套餐 0
你好，我想停掉全国亲情网业务 0
和家庭非放心用套餐 0
我的流量树有六个果实，我有五千多M流量，怎么给清零了？ 0
爱奇艺7天5g流量包开通 0
怎么开通200元5g家庭套餐 0
昨天办理的plus会员 0
介绍一下享特权活动，应该如何办理呀 1
办理通话圈 0
18元乐享版移动王卡何时能用到 0
校园套餐多少钱介绍一下 1
亲情网咋取消 0
我想办理wlan流量套餐，麻烦帮我开通一下教教我怎么使用 1
我要办理5g智享套餐合约版什么时候可以办理 1
120元半年包神州行畅听卡的通话时长 0
任我用套餐的套餐本月没用完，下月可以继续用吗 0
办理了PLS 0
家庭亲情网的10元，怎么退订？ 0
你好，不小心订购的惠享20元20G流怎么退掉 0
68元2019版校园套餐2020版里还有其他服务吗 0
普通版和全球通版的会员plus，便宜的是哪个 2
乐享优惠券20元20G流量还有吗？ 0
10元移动wlan套餐怎么使用 0
视频加油5g怎么购买 0
我有个20元20g的服务怎么退掉 0
你好。免费接打电话怎么办理 0
我现在不需要2元月包个性化屏显业务，怎么取消掉 0
plus会员退 0
您好：怎么开通6元咪咕流量包任我看芒果tv 0
你告诉我10元暖心流量包怎么开通 0
不限量的通话时长，是什么，给我介绍一下 1
我想办理视频5g加油流量包，麻烦帮我开通一下得花多少钱去开通 1
通话圈月功能是什么 0
我想办理个乐享版专门上网的卡玩玩 0
您好，如何退订亲情网？ 0
你好，我想取消通话圈业务 0
王卡优惠返话费我啥时可以办理，您好：怎么开通 1
P?la?s 0
今天刚签到 0
20元20GB业务怎么开通 0
我可以办理提速日租包吗 0
现在办理亲情网还有优惠吗 0
wlan任我用怎么使用，有多少流量 1
退订全网普惠流量套餐 0
周三抽流量活动下个月生效么 0
为啥呀，为啥不能办理200元5g家庭套餐 0
介绍一下70爱奇艺，怎么购买 1
小额版流量加速开通 0
享有plus会员的条件 0
贴心流量券带多少的流量，如何开通 1
你好，我想取消10元流量日包，怎么办理 0
五元3g何时能用到，有多少流量 1
怎么取消机顶盒，怎么购买 1
取消新30元40G 0
680元5g家庭套餐的网速咋样 0
电子发票想换个邮箱，收件怎么办？ 0
10元10g如何取消如何开通 1
我想把我的亲情套餐那个取消了 0
怎么退订通话圈 0
5元卡我为啥办理不了呀 0
如何开通plus会员 0
更换666，流量是否自动转移 0
什么是畅听卡年包，开通一下 1
手机视频流量包有多少流量，因为什么无法退订 1
家庭分享业务 0
亲情网啥意思？ 0
和家庭优惠 0
您好：怎么开通18元普通版plus 0
怎样在线取消家庭通话成员 0
惠享流量如何取消 0
移动puls会员怎么退订 0
你好我办理的38元北京移动plus会员权益卡有其他什么服务吗 0
60元年包神州行畅听卡退订失败 0
和家庭 开通 0
我办理视频会员5GB通用流量加油包，腾讯和芒果的花的钱是否一样 2
Plus办理完了 从哪里领福利？ 0
年包神州行5元卡什么时候发售 0
微信公众号做任务领的流量劵一直没有 0
我要办理20元139邮箱 0
80元5g家庭套餐怎么购买 0
您好：怎么开通芒果vt 0
家园卡怎么购买，为啥呀，为啥不能办理 1
如何办理plus 0
20元流量券如何取消 0
15元大陆及港澳台版限速恢复我为啥办理不了呀 0
什么是398元5g畅享套餐合约版 0
70元优酷有多少流量 0
9元百度咪咕专属包怎么购买 0
3元采玲的使用方法 0
为什么我不能开通咪咕畅玩 0
白金卡会员 0
30元高速流量套餐是否能取消，有什么要求吗 0
邮箱的使用方法 0
你好我办理的7天5g视频会员流量包有其他什么服务吗 0
我要办理暖心包怎么办何时能用到 1
全网优惠新年礼一白银会员 0
怎么取消和留言业务？ 0
帮我介绍一下22元年包个性化屏显业务的开通条件 0
我这个月还有亲情网吗？怎么取消亲请网。 0
你好，plus业务怎么取消 0
请问我能办20元20G吗 0
18元基础版移动王卡带多少G的流量 0
你好，我想取消200元2018版校园300打一年，怎么办理 0
扣电提醒在哪里开通 0
怎样办理亲情套餐？ 0
我有一个160元5g家庭套餐能取消吗 0
我想办理60元年包家园卡欢乐套餐，麻烦帮我开通一下 0
任我用wlan为啥我取消不了，我为什么不能办理 1
和爱车业务我啥时可以办理 0
我要办理月包天气预报怎么办 0
20元20g的活动怎么办理 0
你告诉我快手流量包怎么开通 0
移动puls会员可以取消吗 0
我要办理9元百度包今日头条包 0
任何添加亲情号 0
1元10gb特惠体验券活动太鸡肋了，帮我干掉吧，我要办理 1
微博包是什么，给我介绍一下，您好：怎么开通 1
手机号邮箱 0
亲情号如何办理，目前有优惠吗？ 0
我要办理11元优酷视频会员5gb通用流量7天包 0
我要办理59元互联网智能语音遥控器怎么办 0
办好了wlan套餐怎么使用 0
全国亲情网功能费优惠活动可以取消吗 0
30叠加包多少钱 0
可以办理30元40G流量吗 0
PULS怎么办理 0
15元咪咕直播流量包任我看咪咕流量退订失败 0
5g智享套餐合约版有多少流量 0
怎么办理亲情号，互通电话免费 0
为啥呀，为啥不能办理王卡 0
教教我怎么使用220元互联网电视 0
如何取消亲情电话？ 0
你好，我之前的9元芒果tv一周流量到期了，想继续办理个 0
普惠的流量 0
请问全国亲情网如何退订？ 0
2元五元3g太鸡肋了，帮我干掉吧 0
15元咪咕直播流量包任我看视频流量包什么时候发售 0
砍价得好礼活动我啥时可以办理 0
怎么办理18元咪咕专属定向流量包 0
你好，我之前的超市会员产品到期了，想继续办理个，什么时候发售 1
签到奖励是需要每天都签到吗 0
我想办理个11元优酷视频会员5gb通用流量7天包玩玩 0
和留言年包取消方式 0
我的亲情卡已经取消了，为什么又给加上了？ 0
10元流量日包开通应该如何操作 0
新全球通畅享套餐如何取消 0
次月1元5g流量可以生效吗 0
取消亲情模式 0
我这个手机套餐的亲情短号是多少？ 0
我可以办理快手app流量包吗太鸡肋了，帮我干掉吧 1
亲情网业务到期取消 0
语音留言啥时候上线，应该如何办理呀 1
我想办理6元视频彩铃，麻烦帮我开通一下 0
19元宝藏版淘宝卡开通应该如何操作 0
20元20GB流量卷 0
关机提醒何时能用到 0
车主服务如何取消，介绍一下 1
为什么我不能开通超级流量王 0
退订互联网专属视频彩铃6元包 0
我为什么不能办理680元5g家庭套餐 0
怎么办理1元小额版流量加速包 0
什么是优酷7天会员流量，为啥呀，为啥不能办理 1
亲友团怎么取消 0
签到翻牌子 0
我想办个5元卡半年包 0
我想办理移动电视盒子，麻烦帮我开通一下 0
我要办理王者荣耀王者怎么办 0
是不是谁都可以办理500元加油包 0
我想办理5g家庭套餐，麻烦帮我开通一下 0
我要办理30元年包和留言 0
23元北京通手机卡是什么，给我介绍一下 0
49元2020版校园卡68如何取消 0
我要办理15元畅享包快手定向流量包怎么办 0
欠费状态发不了短信，全国亲情网如何退订 0
为什么我不能开通6元咪咕流量包任我看芒果tv 0
彩铃功能的使用方法 0
怎么开通北京移动plus会员权益卡 0
我想办理个锦鲤卡玩玩 0
15元高速包什么时候发售 0
全网优惠特权的 0
你好，我想取消成员亲情省，怎么办理 0
60元年包畅听年卡是什么，给我介绍一下 0
怎么开通咪咕畅玩 0
什么时候可以办理视频王卡 0
新30元惠享40g流量券会不会限速 0
15元流量加油包如何取消 0
怎么办理新全球通畅享套餐是否能取消，有什么要求吗 1
办理快手流量包，流量包和畅享包的价格一样吗 2
11元腾讯天5g流量包是什么，给我介绍一下 0
我想办理咪咕直播流量包腾讯视频流量，麻烦帮我开通一下 0
你告诉我为什么不能办理成员全国亲情网 0
全国优惠享特权怎么取消 0
什么时候可以办理3元月包和留言 0
您好：怎么开通宝藏版移动花卡 0
流量助力开通 0
5g智享套餐合约版里还有其他服务吗 0
分享18套餐我为啥办理不了呀 0
我想办理忘了电视，麻烦帮我开通一下 0
我想办个西玛拉雅 0
我有一个年包神州行畅听卡能取消吗 0
任我用套餐什么时候发售，通话时长 1
我想把通话圈功能取消 0
任我看咪咕流量可以适用于任何app的吗 0
怎么办理3元月包短信发送报告 0
20元20G怎样办理 0
开通11元优酷腾讯7天5g流量包 0
你好，我之前的全球通礼遇活动到期了，想继续办理个 0
和家庭免费赠送号卡活动适用范围有要求没 0
288元畅享放心用套餐能取消吗 0
承诺低消的金额怎么取消？ 0
80元5g家庭套餐能取消吗 0
王者我为啥办理不了呀为啥退订失败 1
你好，取消亲情号业务如何办理 0
代家人付费 0
我这个号还可以办20元20g流量吗 0
如何取消30元40G 0
你好，我想取消2元车主服务，怎么办理 0
怎么取消日套餐多少钱能开通 1
如何办理27个月，每月30元领40G流量 0
月包和年包的个性化屏显业务，便宜的是哪个 2
来来，手机邮箱教教我咋用，太鸡肋了，帮我干掉吧 1
和爱车业务的使用方法 0
加开流量啥时候上线，怎么取消 1
你好，我能办理68元2019版和4g校园套餐吗 0
全网优惠享特权什么时候发售，怎么开通 1
我要办理10元流量加油包怎么办 0
语音摇控器的使用方法 0
取消福袋活动 0
怎么取消亲情网成员 0
这个29元5g流量升级包有多少流量 0
7天2g通用流量如何取消 0
你好我办理的68元2019版和4g校园套餐有其他什么服务吗 0
我要申请互联网电视取消 0
我想开通手机视频流量包需要花多少钱什么是 1
20元20GB那个 0
畅聊套餐为什么退订不了，哪些情况下办理不了 1
办理一个含流量最多的小时包，需要多少钱 0
老年卡18元如何取消，怎么办理 1
选择plus会员活动 0
我办理的68元2019版和4g校园套餐有多少流量 0
企业营销代缴话费 0
办理的20元20G流量包 0
怎么办理什么时候可以办理 1
全国普惠得流量活动怎么取消 0
我想办理个咪咕专属包玩玩，网易和百度的开通方式有区别吗 2
您好：怎么开通和留言年包 0
你好，我想取消11元腾讯视频会员5gb通用流量7天包，怎么办理 0
抖音流量包流量使用有上限吗 0
什么是移动王卡惠享合约 0
全网普惠得流量业务 0
和家庭优惠活动开通应该如何操作是不是谁都可以办理 1
全网优惠享我选择语音 0
退订5元彩铃 0
你好，我换车号了，能给我车主服务里的信息改下吗？ 0
是不是谁都可以办理15元大陆及港澳台版流量加速 0
20元惠享优惠券是20G全国通用流量吗 0
我想开通500机场流量包需要花多少钱 0
组网亲情号 0
请问可以取消我的“20元20GB惠享流量券”吗？ 0
还是叫亲情套餐？ 0
我想办理个3元月包短信回执玩玩 0
我能办理30元40G的套餐吗？ 0
我想办理个19元热剧vip互联网电视玩玩 0
我办理了全网优惠享特权 0
什么时候可以办理59元牛卡 0
我要办理老年卡18元怎么办 0
怎么取消和留言年包什么时候发售 1
在哪添加流量共享组 0
含流量最多的加油包多少钱可以办理 0
如何取消全国亲情 0
我想开通5g智享套餐合约版需要花多少钱通话时长 1
我办理的老年卡18元有多少流量，如何取消 1
校园wlan是什么，给我介绍一下为啥呀，为啥不能办理 1
咪咕畅玩开通应该如何操作 0
5元移动wlan套餐为什么退订不了 0
怎么办理68元2019版校园套餐2020版 0
帮我介绍一下11元腾讯视频会员5gb通用流量7天包的开通条件 0
互联网购卡二选一福利 0
22元年包个性化屏显业务有什么要求 0
你好，办理5G智享套餐合约版，合约版和合约版的流量一不一样 2
我要办理12元半年包来电提醒怎么办 0
您好：怎么开通花一惠 0
和留言可以取消吗？ 0
你好，我要取消和家庭那个套餐 0
怎么办理乐享版移动王卡 0
我想把十块钱那个亲情网套餐取消了 0
多少钱能开通五元3g什么是 1
你告诉我锦鲤卡怎么开通 0
我之前有个20元20GB的券 0
得花多少钱去开通车主小秘书24元年套餐 0
开通叠加包需要多少钱，有多少流量 1
如何增加亲情号 0
解绑全网普惠的流量 0
帮我介绍一下15元互联网电视的开通条件 0
10元和家庭分享怎么购买 0
把家庭亲情网退了 0
你好，我想取消plus，怎么办理您好：怎么开通 1
我现在不需要49元2020版和4g校园套餐，怎么取消掉 0
办理的优惠享特权，怎么领取会员权益 0
次月暖心流量包可以生效吗 0
我要办理芒果tv视频会员5gb通用流量7天包 0
和留言有什么功能 0
怎么取消10元家庭成员互打免费 0
怎么取消plus权益 0
18元基础版一元一个g怎么购买 0
刚刚开通亲情能申请退订吗？ 0
五元卡我啥时可以办理多少钱 1
您好和留言取消下 0
为什么我不能开通18元2018版校园专属定向流量包 0
220元忘了电视能取消吗 0
我有一个5元wlan流量套餐能取消吗 0
我想办理移动电视盒子，麻烦帮我开通一下 0
移动网盘可以叠加吗 0
怎么办理手机视频流量包 0
怎么取消加开流量 0
为什么我不能开通放心用多少钱能开通 1
任我用套餐的通话时长 0
200元2018版校园卡活动有[内含其他服务]吗 0
帮我介绍一下校园卡68的开通条件 0
什么是65元乐视会员爱奇艺流量包 0
我想开通加开流量需要花多少钱，啥时候上线 1
这个49元2020版和4g校园套餐有多长的通话时间 0
得花多少钱去开通咪咕直播流量包任我看聚力视频（pptv）流量包 0
我想办理20元20G的套餐流量 0
移动push怎么办理 0
天天签到活动 0
得花多少钱去开通智能遥控器 0
plus服务 0
开通plus会员花钱吗 0
和留言年包如何取消 0
有一个30元40g的流量怎么办理 0
160元5g家庭套餐开通应该如何操作 0
我现在不需要基础版流量王，怎么取消掉 0
取消20元20g的套餐 0
开通18元普通版北京移动plus会员 0
帮我看一下我的亲情号取消了吗 0
家庭共享流量套餐可以叠加吗 0
49元2020版和4g校园套餐什么时候发售 0
24元腾讯视频任我看芒果tv退订失败 0
通话圈功能怎么取消？ 0
我想取消我的全国亲情网 0
我想办理个支付宝卡玩玩 0
是不是谁都可以办理手机视频流量包，我啥时可以办理 1
我本月亲情网优惠10元到期，请关闭此亲情网功能，谢谢? 0
我想办理60元年包5元包月卡，麻烦帮我开通一下 0
你好我办理的11元优酷视频会员5gb通用流量7天包有其他什么服务吗 0
我要办理18元全球通版北京移动plus会员怎么办 0
7天的流量包我啥时可以办理，怎么取消 1
不想用亲情网了 0
15元大陆及港澳台版流量提速包怎么使用 0
我现在不需要月包短信发送报告，怎么取消掉 0
家庭亲情网每月10元能否去掉？不要了，谢谢！ 0
plus会员办理 0
说20元20G 0
我现在不需要嗨购月包，怎么取消掉，我想办个 1
您好！我要取消和家庭与主号的关联 0
我想办个15元咪咕直播流量包腾讯视频24元流量 0
通话圈包年办理 0
你告诉我为什么不能办理8元流量加油包 0
家庭亲情版干嘛用 0
车主小秘书24元年套餐如何用 0
哪些情况下办理不了固话 0
你好，我能办理固话吗开通一下 1
你好，我想取消19元宝藏版移动花卡，怎么办理 0
我为什么不能办理爱奇艺会员视频会员通用流量月包 0
上网版和Plus版的大王卡哪一个更优惠些呢 2
Plus开通后权益为什么提醒已经办理 0
是不是谁都可以办理68元2019版和4g校园套餐 0
我要办理上网版一元一个g怎么办 0
如何设置移动盒子 0
我想办理个哔哩哔哩流量包玩玩我为啥办理不了呀 1
我要办理月包和留言年包 0
全网优惠享特权不能短信取消吗 0
5元半年30元如何取消 0
20块钱20GB的流量能不能开热点 0
和家庭的副卡 0
12元半年包来电提醒怎么购买 0
长期版提速包应该如何办理呀 0
18元普通版移动plus退订失败 0
取消全国亲情网组内通话免费 0
为啥呀，为啥不能办理咪咕直播流量包任我看咪咕流量 0
我想办理15元加油包，麻烦帮我开通一下 0
我现在不需要30元年包和留言，怎么取消掉 0
我刚刚办理了一个plus会员专享的礼包 0
你好，我之前的300元2019版五百打两年到期了，想继续办理个 0
怎么办理新春版花卡 0
我想办个18元2018版校园专属定向流量包 0
开通王者荣耀 0
5g智享套餐家庭版为什么退订不了怎么购买 1
取消全国亲情梦网 0
模组应该如何办理呀 0
无法退订半年包畅听年卡 0
为啥呀，为啥不能办理尊享计划2020版太鸡肋了，帮我干掉吧 1
高速流量套餐太鸡肋了，帮我干掉吧我为啥办理不了呀 1
你告诉我为什么不能办理65元乐视会员视频会员通用流量月包 0
办好了18元全球通版会员plus怎么使用 0
我要办理5g智享套餐家庭版怎么办 0
我想办理个腾讯视频24元流量玩玩 0
普惠流量体验包失效是什么意思？ 0
车主服务是什么？ 0
请问还有20元20流量？ 0
天气预报年包啥时候生效 0
魔百和怎么购买 0
大学生专属流量套餐我为啥办理不了呀，怎么取消 1
我要办理20元移动wlan套餐 0
怎样修改车主服务车辆信息 0
你好，办理5元加油包需要什么条件？ 0
帮我介绍一下分享18套餐的开通条件，啥时候上线 1
